id,week_offset,week_label,rank,title,artist,likes,crawled_at
1,0,2026.03.30 ~ 2026.04.05,1,BANG BANG,IVE (아이브),64208,2026-05-26 15:47:04
2,0,2026.03.30 ~ 2026.04.05,2,404 (New Era),KiiiKiii (키키),66002,2026-05-26 15:47:04
3,0,2026.03.30 ~ 2026.04.05,3,RUDE!,Hearts2Hearts (하츠투하츠),63368,2026-05-26 15:47:04
4,0,2026.03.30 ~ 2026.04.05,4,SWIM,방탄소년단,60888,2026-05-26 15:47:04
5,0,2026.03.30 ~ 2026.04.05,5,Drowning,WOODZ,300622,2026-05-26 15:47:04
6,0,2026.03.30 ~ 2026.04.05,6,Good Goodbye,화사 (HWASA),119761,2026-05-26 15:47:04
7,0,2026.03.30 ~ 2026.04.05,7,사랑하게 될 거야,한로로,134529,2026-05-26 15:47:04
8,0,2026.03.30 ~ 2026.04.05,8,0+0,한로로,106518,2026-05-26 15:47:04
9,0,2026.03.30 ~ 2026.04.05,9,Body to Body,방탄소년단,46266,2026-05-26 15:47:04
10,0,2026.03.30 ~ 2026.04.05,10,타임캡슐,다비치,72432,2026-05-26 15:47:04
11,0,2026.03.30 ~ 2026.04.05,11,그대 작은 나의 세상이 되어,카더가든,83793,2026-05-26 15:47:04
12,0,2026.03.30 ~ 2026.04.05,12,멸종위기사랑,이찬혁,99361,2026-05-26 15:47:04
13,0,2026.03.30 ~ 2026.04.05,13,너에게 닿기를,10CM,151016,2026-05-26 15:47:04
14,0,2026.03.30 ~ 2026.04.05,14,TICK TOCK (Feat. ZICO) (Prod. by ZICO\, Crush),김하온 (HAON)\, Nosun\, Raf Sandou\, Marv\, 정준혁,39118,2026-05-26 15:47:04
15,0,2026.03.30 ~ 2026.04.05,15,Blue Valentine,NMIXX,116956,2026-05-26 15:47:04
16,0,2026.03.30 ~ 2026.04.05,16,Golden,"HUNTR/X\, EJAE\, AUDREY NUNA\, REI AMI\, KPop Demon Hunters Cast",192148,2026-05-26 15:47:04
17,0,2026.03.30 ~ 2026.04.05,17,BLACKHOLE,IVE (아이브),39132,2026-05-26 15:47:04
18,0,2026.03.30 ~ 2026.04.05,18,어제보다 슬픈 오늘,우디 (Woody),85785,2026-05-26 15:47:04
19,0,2026.03.30 ~ 2026.04.05,19,"어떻게 이별까지 사랑하겠어\, 널 사랑하는 거지",AKMU (악뮤),497436,2026-05-26 15:47:04
20,0,2026.03.30 ~ 2026.04.05,20,너의 모든 순간,성시경,323979,2026-05-26 15:47:04
21,0,2026.03.30 ~ 2026.04.05,21,뛰어(JUMP),BLACKPINK,97001,2026-05-26 15:47:04
22,0,2026.03.30 ~ 2026.04.05,22,toxic till the end,로제 (ROSÉ),155503,2026-05-26 15:47:04
23,0,2026.03.30 ~ 2026.04.05,23,모르시나요(PROD.로코베리),조째즈,107849,2026-05-26 15:47:04
24,0,2026.03.30 ~ 2026.04.05,24,천상연,이창섭,146871,2026-05-26 15:47:04
25,0,2026.03.30 ~ 2026.04.05,25,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),123779,2026-05-26 15:47:04
26,0,2026.03.30 ~ 2026.04.05,26,사랑은 봄비처럼...이별은 겨울비처럼...,임현정,69380,2026-05-26 15:47:04
27,0,2026.03.30 ~ 2026.04.05,27,내게 사랑이 뭐냐고 물어본다면,로이킴,97854,2026-05-26 15:47:04
28,0,2026.03.30 ~ 2026.04.05,28,사랑인가 봐,멜로망스,237136,2026-05-26 15:47:04
29,0,2026.03.30 ~ 2026.04.05,29,HAPPY,DAY6 (데이식스),214995,2026-05-26 15:47:04
30,0,2026.03.30 ~ 2026.04.05,30,Hooligan,방탄소년단,31309,2026-05-26 15:47:04
31,0,2026.03.30 ~ 2026.04.05,31,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌)\, j-hope,51260,2026-05-26 15:47:04
32,0,2026.03.30 ~ 2026.04.05,32,like JENNIE,제니 (JENNIE),110573,2026-05-26 15:47:04
33,0,2026.03.30 ~ 2026.04.05,33,Whiplash,aespa,153495,2026-05-26 15:47:04
34,0,2026.03.30 ~ 2026.04.05,34,한 페이지가 될 수 있게,DAY6 (데이식스),368484,2026-05-26 15:47:04
35,0,2026.03.30 ~ 2026.04.05,35,HOME SWEET HOME (feat. 태양\, 대성),G-DRAGON,230279,2026-05-26 15:47:04
36,0,2026.03.30 ~ 2026.04.05,36,모든 날\, 모든 순간 (Every day\, Every Moment),폴킴,437967,2026-05-26 15:47:04
37,0,2026.03.30 ~ 2026.04.05,37,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),173240,2026-05-26 15:47:04
38,0,2026.03.30 ~ 2026.04.05,38,나는 반딧불,황가람,158947,2026-05-26 15:47:04
39,0,2026.03.30 ~ 2026.04.05,39,청춘만화,이무진,101490,2026-05-26 15:47:04
40,0,2026.03.30 ~ 2026.04.05,40,달리 표현할 수 없어요,로이킴,41973,2026-05-26 15:47:04
41,0,2026.03.30 ~ 2026.04.05,41,ONE MORE TIME,ALLDAY PROJECT,61413,2026-05-26 15:47:04
42,0,2026.03.30 ~ 2026.04.05,42,FAMOUS,ALLDAY PROJECT,131649,2026-05-26 15:47:04
43,0,2026.03.30 ~ 2026.04.05,43,소나기,이클립스 (ECLIPSE),196585,2026-05-26 15:47:04
44,0,2026.03.30 ~ 2026.04.05,44,Welcome to the Show,DAY6 (데이식스),199563,2026-05-26 15:47:04
45,0,2026.03.30 ~ 2026.04.05,45,청혼하지 않을 이유를 못 찾았어,이무진,73993,2026-05-26 15:47:04
46,0,2026.03.30 ~ 2026.04.05,46,2.0,방탄소년단,29895,2026-05-26 15:47:04
47,0,2026.03.30 ~ 2026.04.05,47,예뻤어,DAY6 (데이식스),381251,2026-05-26 15:47:04
48,0,2026.03.30 ~ 2026.04.05,48,Flower,오반(OVAN),87181,2026-05-26 15:47:04
49,0,2026.03.30 ~ 2026.04.05,49,주저하는 연인들을 위해,잔나비,454223,2026-05-26 15:47:04
50,0,2026.03.30 ~ 2026.04.05,50,눈을 감아도(2026),순순희(지환),13439,2026-05-26 15:47:04
51,0,2026.03.30 ~ 2026.04.05,51,봄날,방탄소년단,509159,2026-05-26 15:47:04
52,0,2026.03.30 ~ 2026.04.05,52,시작의 아이 ❍,"박다혜\, 마크툽 (MAKTUB)",71470,2026-05-26 15:47:04
53,0,2026.03.30 ~ 2026.04.05,53,STYLE,Hearts2Hearts (하츠투하츠),60829,2026-05-26 15:47:04
54,0,2026.03.30 ~ 2026.04.05,54,FYA,방탄소년단,26520,2026-05-26 15:47:04
55,0,2026.03.30 ~ 2026.04.05,55,FOCUS,Hearts2Hearts (하츠투하츠),43462,2026-05-26 15:47:04
56,0,2026.03.30 ~ 2026.04.05,56,KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki),"NOWIMYOUNG (나우아임영)\, Royal 44",30182,2026-05-26 15:47:04
57,0,2026.03.30 ~ 2026.04.05,57,APT.,로제 (ROSÉ)\, Bruno Mars,221041,2026-05-26 15:47:04
58,0,2026.03.30 ~ 2026.04.05,58,REBEL HEART,IVE (아이브),120777,2026-05-26 15:47:04
59,0,2026.03.30 ~ 2026.04.05,59,NOT CUTE ANYMORE,아일릿(ILLIT),48184,2026-05-26 15:47:04
60,0,2026.03.30 ~ 2026.04.05,60,Aliens,방탄소년단,25406,2026-05-26 15:47:04
61,0,2026.03.30 ~ 2026.04.05,61,Love wins all,아이유,223529,2026-05-26 15:47:04
62,0,2026.03.30 ~ 2026.04.05,62,첫 만남은 계획대로 되지 않아,TWS (투어스),174982,2026-05-26 15:47:04
63,0,2026.03.30 ~ 2026.04.05,63,Seven (feat. Latto) - Clean Ver.,정국,231559,2026-05-26 15:47:04
64,0,2026.03.30 ~ 2026.04.05,64,오늘만 I LOVE YOU,BOYNEXTDOOR,186448,2026-05-26 15:47:04
65,0,2026.03.30 ~ 2026.04.05,65,OVERDRIVE,TWS (투어스),44529,2026-05-26 15:47:04
66,0,2026.03.30 ~ 2026.04.05,66,다정히 내 이름을 부르면,"경서예지\, 전건호",223789,2026-05-26 15:47:04
67,0,2026.03.30 ~ 2026.04.05,67,헤어지자 말해요,박재정,194185,2026-05-26 15:47:04
68,0,2026.03.30 ~ 2026.04.05,68,Die With A Smile,Lady Gaga\, Bruno Mars,136070,2026-05-26 15:47:04
69,0,2026.03.30 ~ 2026.04.05,69,Like Animals,방탄소년단,27031,2026-05-26 15:47:04
70,0,2026.03.30 ~ 2026.04.05,70,Soda Pop,"KPop Demon Hunters Cast\, Danny Chung\, Saja Boys\, Andrew Choi\, Neckwav\, Kevin Woo\, samUIL Lee",116522,2026-05-26 15:47:04
71,0,2026.03.30 ~ 2026.04.05,71,Never Ending Story,아이유,86573,2026-05-26 15:47:04
72,0,2026.03.30 ~ 2026.04.05,72,인사,범진,163553,2026-05-26 15:47:04
73,0,2026.03.30 ~ 2026.04.05,73,시작의 아이,마크툽 (MAKTUB),85919,2026-05-26 15:47:04
74,0,2026.03.30 ~ 2026.04.05,74,힙합보단 사랑\, 사랑보단 돈 (Feat. 베이식),노아주다 (noahjooda),50345,2026-05-26 15:47:04
75,0,2026.03.30 ~ 2026.04.05,75,눈사람,정승환,309981,2026-05-26 15:47:04
76,0,2026.03.30 ~ 2026.04.05,76,XOXZ,IVE (아이브),55998,2026-05-26 15:47:04
77,0,2026.03.30 ~ 2026.04.05,77,Magnetic,아일릿(ILLIT),146163,2026-05-26 15:47:04
78,0,2026.03.30 ~ 2026.04.05,78,I AM,IVE (아이브),238663,2026-05-26 15:47:04
79,0,2026.03.30 ~ 2026.04.05,79,에피소드,이무진,142744,2026-05-26 15:47:04
80,0,2026.03.30 ~ 2026.04.05,80,사랑은 늘 도망가,임영웅,237669,2026-05-26 15:47:04
81,0,2026.03.30 ~ 2026.04.05,81,Popcorn,도경수(D.O.),82181,2026-05-26 15:47:04
82,0,2026.03.30 ~ 2026.04.05,82,그래 늦지 않았어 (2025),"아샤트리\, 이예은\, 전건호",17336,2026-05-26 15:47:04
83,0,2026.03.30 ~ 2026.04.05,83,끝사랑,테이,12629,2026-05-26 15:47:04
84,0,2026.03.30 ~ 2026.04.05,84,캐치 캐치,YENA (최예나),34064,2026-05-26 15:47:04
85,0,2026.03.30 ~ 2026.04.05,85,Merry Go Round,방탄소년단,24221,2026-05-26 15:47:04
86,0,2026.03.30 ~ 2026.04.05,86,한번 더 이별,이창섭,33668,2026-05-26 15:47:04
87,0,2026.03.30 ~ 2026.04.05,87,TOO BAD (feat. Anderson .Paak),G-DRAGON,156073,2026-05-26 15:47:04
88,0,2026.03.30 ~ 2026.04.05,88,운명 (2025),"먼데이 키즈\, 이이경",36310,2026-05-26 15:47:04
89,0,2026.03.30 ~ 2026.04.05,89,Hype Boy,NewJeans,315851,2026-05-26 15:47:04
90,0,2026.03.30 ~ 2026.04.05,90,벚꽃 엔딩,버스커 버스커,314189,2026-05-26 15:47:04
91,0,2026.03.30 ~ 2026.04.05,91,GO,BLACKPINK,20091,2026-05-26 15:47:04
92,0,2026.03.30 ~ 2026.04.05,92,One More Night,방탄소년단,23020,2026-05-26 15:47:04
93,0,2026.03.30 ~ 2026.04.05,93,MY LOVE(2025),"이예은\, 아샤트리\, 전건호",39830,2026-05-26 15:47:04
94,0,2026.03.30 ~ 2026.04.05,94,이 밤을 빌려 말해요,PLAVE,31251,2026-05-26 15:47:04
95,0,2026.03.30 ~ 2026.04.05,95,they don’t know ’bout us,방탄소년단,23206,2026-05-26 15:47:04
96,0,2026.03.30 ~ 2026.04.05,96,Please,방탄소년단,23942,2026-05-26 15:47:04
97,0,2026.03.30 ~ 2026.04.05,97,봄 사랑 벚꽃 말고,"HIGH4 (하이포)\, 아이유",231427,2026-05-26 15:47:04
98,0,2026.03.30 ~ 2026.04.05,98,우연히 봄,"로코\, 유주 (YUJU)",184646,2026-05-26 15:47:04
99,0,2026.03.30 ~ 2026.04.05,99,비의 랩소디,임재현,109984,2026-05-26 15:47:04
100,0,2026.03.30 ~ 2026.04.05,100,Into the Sun,방탄소년단,24124,2026-05-26 15:47:04
101,0,2026.04.06 ~ 2026.04.12,1,기쁨\, 슬픔\, 아름다운 마음,AKMU (악뮤),79258,2026-05-26 15:47:04
102,0,2026.04.06 ~ 2026.04.12,2,BANG BANG,IVE (아이브),64208,2026-05-26 15:47:04
103,0,2026.04.06 ~ 2026.04.12,3,404 (New Era),KiiiKiii (키키),66002,2026-05-26 15:47:04
104,0,2026.04.06 ~ 2026.04.12,4,RUDE!,Hearts2Hearts (하츠투하츠),63368,2026-05-26 15:47:04
105,0,2026.04.06 ~ 2026.04.12,5,SWIM,방탄소년단,60888,2026-05-26 15:47:04
106,0,2026.04.06 ~ 2026.04.12,6,소문의 낙원,AKMU (악뮤),74298,2026-05-26 15:47:04
107,0,2026.04.06 ~ 2026.04.12,7,사랑하게 될 거야,한로로,134529,2026-05-26 15:47:04
108,0,2026.04.06 ~ 2026.04.12,8,Drowning,WOODZ,300622,2026-05-26 15:47:04
109,0,2026.04.06 ~ 2026.04.12,9,Good Goodbye,화사 (HWASA),119761,2026-05-26 15:47:04
110,0,2026.04.06 ~ 2026.04.12,10,0+0,한로로,106518,2026-05-26 15:47:04
111,0,2026.04.06 ~ 2026.04.12,11,타임캡슐,다비치,72432,2026-05-26 15:47:04
112,0,2026.04.06 ~ 2026.04.12,12,Body to Body,방탄소년단,46266,2026-05-26 15:47:04
113,0,2026.04.06 ~ 2026.04.12,13,그대 작은 나의 세상이 되어,카더가든,83793,2026-05-26 15:47:04
114,0,2026.04.06 ~ 2026.04.12,14,멸종위기사랑,이찬혁,99361,2026-05-26 15:47:04
115,0,2026.04.06 ~ 2026.04.12,15,너에게 닿기를,10CM,151016,2026-05-26 15:47:04
116,0,2026.04.06 ~ 2026.04.12,16,"어떻게 이별까지 사랑하겠어\, 널 사랑하는 거지",AKMU (악뮤),497436,2026-05-26 15:47:04
117,0,2026.04.06 ~ 2026.04.12,17,TICK TOCK (Feat. ZICO) (Prod. by ZICO\, Crush),김하온 (HAON)\, Nosun\, Raf Sandou\, Marv\, 정준혁,39119,2026-05-26 15:47:04
118,0,2026.04.06 ~ 2026.04.12,18,어제보다 슬픈 오늘,우디 (Woody),85786,2026-05-26 15:47:04
119,0,2026.04.06 ~ 2026.04.12,19,너의 모든 순간,성시경,323979,2026-05-26 15:47:04
120,0,2026.04.06 ~ 2026.04.12,20,Blue Valentine,NMIXX,116957,2026-05-26 15:47:04
121,0,2026.04.06 ~ 2026.04.12,21,Golden,"HUNTR/X\, EJAE\, AUDREY NUNA\, REI AMI\, KPop Demon Hunters Cast",192148,2026-05-26 15:47:04
122,0,2026.04.06 ~ 2026.04.12,22,BLACKHOLE,IVE (아이브),39132,2026-05-26 15:47:04
123,0,2026.04.06 ~ 2026.04.12,23,뛰어(JUMP),BLACKPINK,97001,2026-05-26 15:47:04
124,0,2026.04.06 ~ 2026.04.12,24,모르시나요(PROD.로코베리),조째즈,107849,2026-05-26 15:47:04
125,0,2026.04.06 ~ 2026.04.12,25,toxic till the end,로제 (ROSÉ),155503,2026-05-26 15:47:04
126,0,2026.04.06 ~ 2026.04.12,26,천상연,이창섭,146871,2026-05-26 15:47:04
127,0,2026.04.06 ~ 2026.04.12,27,내게 사랑이 뭐냐고 물어본다면,로이킴,97854,2026-05-26 15:47:04
128,0,2026.04.06 ~ 2026.04.12,28,Popcorn,도경수(D.O.),82182,2026-05-26 15:47:04
129,0,2026.04.06 ~ 2026.04.12,29,2.0,방탄소년단,29895,2026-05-26 15:47:04
130,0,2026.04.06 ~ 2026.04.12,30,사랑은 봄비처럼...이별은 겨울비처럼...,임현정,69381,2026-05-26 15:47:04
131,0,2026.04.06 ~ 2026.04.12,31,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),123779,2026-05-26 15:47:04
132,0,2026.04.06 ~ 2026.04.12,32,사랑인가 봐,멜로망스,237136,2026-05-26 15:47:04
133,0,2026.04.06 ~ 2026.04.12,33,HAPPY,DAY6 (데이식스),214995,2026-05-26 15:47:04
134,0,2026.04.06 ~ 2026.04.12,34,모든 날\, 모든 순간 (Every day\, Every Moment),폴킴,437967,2026-05-26 15:47:04
135,0,2026.04.06 ~ 2026.04.12,35,Hooligan,방탄소년단,31309,2026-05-26 15:47:04
136,0,2026.04.06 ~ 2026.04.12,36,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),173240,2026-05-26 15:47:04
137,0,2026.04.06 ~ 2026.04.12,37,like JENNIE,제니 (JENNIE),110573,2026-05-26 15:47:04
138,0,2026.04.06 ~ 2026.04.12,38,한 페이지가 될 수 있게,DAY6 (데이식스),368484,2026-05-26 15:47:04
139,0,2026.04.06 ~ 2026.04.12,39,Whiplash,aespa,153495,2026-05-26 15:47:04
140,0,2026.04.06 ~ 2026.04.12,40,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌)\, j-hope,51260,2026-05-26 15:47:04
141,0,2026.04.06 ~ 2026.04.12,41,소나기,이클립스 (ECLIPSE),196585,2026-05-26 15:47:04
142,0,2026.04.06 ~ 2026.04.12,42,HOME SWEET HOME (feat. 태양\, 대성),G-DRAGON,230279,2026-05-26 15:47:04
143,0,2026.04.06 ~ 2026.04.12,43,주저하는 연인들을 위해,잔나비,454223,2026-05-26 15:47:04
144,0,2026.04.06 ~ 2026.04.12,44,나는 반딧불,황가람,158947,2026-05-26 15:47:04
145,0,2026.04.06 ~ 2026.04.12,45,캐치 캐치,YENA (최예나),34065,2026-05-26 15:47:04
146,0,2026.04.06 ~ 2026.04.12,46,청춘만화,이무진,101491,2026-05-26 15:47:04
147,0,2026.04.06 ~ 2026.04.12,47,Flower,오반(OVAN),87181,2026-05-26 15:47:04
148,0,2026.04.06 ~ 2026.04.12,48,달리 표현할 수 없어요,로이킴,41973,2026-05-26 15:47:04
149,0,2026.04.06 ~ 2026.04.12,49,청혼하지 않을 이유를 못 찾았어,이무진,73993,2026-05-26 15:47:04
150,0,2026.04.06 ~ 2026.04.12,50,봄날,방탄소년단,509159,2026-05-26 15:47:04
151,0,2026.04.06 ~ 2026.04.12,51,Welcome to the Show,DAY6 (데이식스),199563,2026-05-26 15:47:04
152,0,2026.04.06 ~ 2026.04.12,52,예뻤어,DAY6 (데이식스),381251,2026-05-26 15:47:04
153,0,2026.04.06 ~ 2026.04.12,53,눈을 감아도(2026),순순희(지환),13439,2026-05-26 15:47:04
154,0,2026.04.06 ~ 2026.04.12,54,FAMOUS,ALLDAY PROJECT,131649,2026-05-26 15:47:04
155,0,2026.04.06 ~ 2026.04.12,55,ONE MORE TIME,ALLDAY PROJECT,61413,2026-05-26 15:47:04
156,0,2026.04.06 ~ 2026.04.12,56,시작의 아이 ❍,"박다혜\, 마크툽 (MAKTUB)",71470,2026-05-26 15:47:04
157,0,2026.04.06 ~ 2026.04.12,57,STYLE,Hearts2Hearts (하츠투하츠),60829,2026-05-26 15:47:04
158,0,2026.04.06 ~ 2026.04.12,58,KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki),"NOWIMYOUNG (나우아임영)\, Royal 44",30182,2026-05-26 15:47:04
159,0,2026.04.06 ~ 2026.04.12,59,REBEL HEART,IVE (아이브),120777,2026-05-26 15:47:04
160,0,2026.04.06 ~ 2026.04.12,60,FYA,방탄소년단,26520,2026-05-26 15:47:04
161,0,2026.04.06 ~ 2026.04.12,61,APT.,로제 (ROSÉ)\, Bruno Mars,221041,2026-05-26 15:47:04
162,0,2026.04.06 ~ 2026.04.12,62,FOCUS,Hearts2Hearts (하츠투하츠),43462,2026-05-26 15:47:04
163,0,2026.04.06 ~ 2026.04.12,63,Love wins all,아이유,223529,2026-05-26 15:47:04
164,0,2026.04.06 ~ 2026.04.12,64,다정히 내 이름을 부르면,"경서예지\, 전건호",223789,2026-05-26 15:47:04
165,0,2026.04.06 ~ 2026.04.12,65,Seven (feat. Latto) - Clean Ver.,정국,231559,2026-05-26 15:47:04
166,0,2026.04.06 ~ 2026.04.12,66,첫 만남은 계획대로 되지 않아,TWS (투어스),174982,2026-05-26 15:47:04
167,0,2026.04.06 ~ 2026.04.12,67,오늘만 I LOVE YOU,BOYNEXTDOOR,186448,2026-05-26 15:47:04
168,0,2026.04.06 ~ 2026.04.12,68,헤어지자 말해요,박재정,194185,2026-05-26 15:47:04
169,0,2026.04.06 ~ 2026.04.12,69,NOT CUTE ANYMORE,아일릿(ILLIT),48184,2026-05-26 15:47:04
170,0,2026.04.06 ~ 2026.04.12,70,Aliens,방탄소년단,25406,2026-05-26 15:47:04
171,0,2026.04.06 ~ 2026.04.12,71,OVERDRIVE,TWS (투어스),44529,2026-05-26 15:47:04
172,0,2026.04.06 ~ 2026.04.12,72,Die With A Smile,Lady Gaga\, Bruno Mars,136069,2026-05-26 15:47:04
173,0,2026.04.06 ~ 2026.04.12,73,Never Ending Story,아이유,86573,2026-05-26 15:47:04
174,0,2026.04.06 ~ 2026.04.12,74,인사,범진,163553,2026-05-26 15:47:04
175,0,2026.04.06 ~ 2026.04.12,75,눈사람,정승환,309981,2026-05-26 15:47:04
176,0,2026.04.06 ~ 2026.04.12,76,시작의 아이,마크툽 (MAKTUB),85919,2026-05-26 15:47:04
177,0,2026.04.06 ~ 2026.04.12,77,Soda Pop,"KPop Demon Hunters Cast\, Danny Chung\, Saja Boys\, Andrew Choi\, Neckwav\, Kevin Woo\, samUIL Lee",116522,2026-05-26 15:47:04
178,0,2026.04.06 ~ 2026.04.12,78,Like Animals,방탄소년단,27031,2026-05-26 15:47:04
179,0,2026.04.06 ~ 2026.04.12,79,에피소드,이무진,142744,2026-05-26 15:47:04
180,0,2026.04.06 ~ 2026.04.12,80,Magnetic,아일릿(ILLIT),146163,2026-05-26 15:47:04
181,0,2026.04.06 ~ 2026.04.12,81,사랑은 늘 도망가,임영웅,237669,2026-05-26 15:47:04
182,0,2026.04.06 ~ 2026.04.12,82,이 밤을 빌려 말해요,PLAVE,31251,2026-05-26 15:47:04
183,0,2026.04.06 ~ 2026.04.12,83,I AM,IVE (아이브),238663,2026-05-26 15:47:04
184,0,2026.04.06 ~ 2026.04.12,84,XOXZ,IVE (아이브),55998,2026-05-26 15:47:04
185,0,2026.04.06 ~ 2026.04.12,85,끝사랑,테이,12629,2026-05-26 15:47:04
186,0,2026.04.06 ~ 2026.04.12,86,그래 늦지 않았어 (2025),"아샤트리\, 이예은\, 전건호",17336,2026-05-26 15:47:04
187,0,2026.04.06 ~ 2026.04.12,87,힙합보단 사랑\, 사랑보단 돈 (Feat. 베이식),노아주다 (noahjooda),50345,2026-05-26 15:47:04
188,0,2026.04.06 ~ 2026.04.12,88,봄 색깔,AKMU (악뮤),7897,2026-05-26 15:47:04
189,0,2026.04.06 ~ 2026.04.12,89,한번 더 이별,이창섭,33668,2026-05-26 15:47:04
190,0,2026.04.06 ~ 2026.04.12,90,Merry Go Round,방탄소년단,24221,2026-05-26 15:47:04
191,0,2026.04.06 ~ 2026.04.12,91,TOO BAD (feat. Anderson .Paak),G-DRAGON,156073,2026-05-26 15:47:04
192,0,2026.04.06 ~ 2026.04.12,92,운명 (2025),"먼데이 키즈\, 이이경",36310,2026-05-26 15:47:04
193,0,2026.04.06 ~ 2026.04.12,93,벚꽃 엔딩,버스커 버스커,314189,2026-05-26 15:47:04
194,0,2026.04.06 ~ 2026.04.12,94,햇빛 bless you,AKMU (악뮤),9357,2026-05-26 15:47:04
195,0,2026.04.06 ~ 2026.04.12,95,One More Night,방탄소년단,23020,2026-05-26 15:47:04
196,0,2026.04.06 ~ 2026.04.12,96,Hype Boy,NewJeans,315852,2026-05-26 15:47:04
197,0,2026.04.06 ~ 2026.04.12,97,they don’t know ’bout us,방탄소년단,23206,2026-05-26 15:47:04
198,0,2026.04.06 ~ 2026.04.12,98,Please,방탄소년단,23942,2026-05-26 15:47:04
199,0,2026.04.06 ~ 2026.04.12,99,벌레를 내고,AKMU (악뮤),8530,2026-05-26 15:47:04
200,0,2026.04.06 ~ 2026.04.12,100,봄 내음보다 너를,김나영,129673,2026-05-26 15:47:04
